Country,Continent,Year,Import (US$ Billion)
Nepal,Asia,2003,0.62930509
Nauru,Oceania,2003,0.03307579
New Zealand,Oceania,2003,17.80759482
Oman,Asia,2003,10.61691525
Pakistan,Asia,2003,10.66177719
Panama,North America,2003,3.3055713
Peru,South America,2003,9.52247698
Philippines,Asia,2003,51.83830895
Palau,Oceania,2003,0.01685805
Papua New Guinea,Oceania,2003,2.48521737
Poland,Europe,2003,51.23931004
North Korea,Asia,2003,0.99562312
Portugal,Europe,2003,32.19581442
Paraguay,South America,2003,2.69954909
Palestine,Asia,2003,0.08959769
Qatar,Asia,2003,14.10154878
Romania,Europe,2003,19.04349165
Russia,Asia,2003,143.8616607
Rwanda,Africa,2003,0.11335087
Saudi Arabia,Asia,2003,89.48234911
Senegal,Africa,2003,0.87274727
Serbia,Europe,2003,2.45983996
Singapore,Asia,2003,106.5107136
Solomon Islands,Oceania,2003,0.12962077
Sierra Leone,Africa,2003,0.20583522
El Salvador,North America,2003,3.26126776
San Marino,Europe,2003,0.06036286
Somalia,Africa,2003,0.1897739
Sao Tome and Principe,Africa,2003,0.01350305
Suriname,South America,2003,0.6066863
Slovakia,Europe,2003,22.14110793
Slovenia,Europe,2003,12.28446154
Sweden,Europe,2003,99.55763182
Eswatini,Africa,2003,0.59780285
Seychelles,Africa,2003,0.39786224
Syria,Asia,2003,5.98445661
Chad,Africa,2003,0.09810966
Togo,Africa,2003,0.91217028
Thailand,Asia,2003,88.1826907
Tajikistan,Asia,2003,0.57904855
Turkmenistan,Asia,2003,2.67978646
Timor-Leste,Asia,2003,0.00960195
Tonga,Oceania,2003,0.03225971
Trinidad and Tobago,North America,2003,7.06865137
Tunisia,Africa,2003,8.17941154
Turkey,Asia,2003,47.47535356
Tuvalu,Oceania,2003,0.00278489
Tanzania,Africa,2003,1.274023
Uganda,Africa,2003,0.50827682
Ukraine,Europe,2003,22.32570179
Uruguay,South America,2003,2.76534924
